temperature_keV,density_requested_g_cm3,density_used_g_cm3,density_was_clipped,photon_energy_keV,rosseland_multigroup_cm2_g,planck_multigroup_cm2_g
0.001,0.00013849,0.00013849,false,8.6433,0.1538,0.0017001
0.001,0.00013849,0.00013849,false,12.819,0.14888,0.00044104
0.001,0.00013849,0.00013849,false,19.011,0.14345,0.00011443
0.001,0.00013849,0.00013849,false,28.194,0.13644,0.00002969
0.001,0.00013849,0.00013849,false,41.814,0.12792,0.0000078052
0.001,0.00013849,0.00013849,false,62.013,0.11661,0.0000020118
0.001,0.00013849,0.00013849,false,91.969,0.10311,5.2247e-7
0.001,0.00013849,0.00013849,false,136.4,0.087991,1.3775e-7
0.001,0.00013849,0.00013849,false,202.28,0.072277,3.7383e-8
0.001,0.00016298,0.00016298,false,0.001,1358.4,1389.4
0.001,0.00016298,0.00016298,false,0.0014831,1240.1,3744.1
0.001,0.00016298,0.00016298,false,0.0021995,1128.8,1289
0.001,0.00016298,0.00016298,false,0.003262,594.82,642.79
0.001,0.00016298,0.00016298,false,0.0048377,299.53,313.34
0.001,0.00016298,0.00016298,false,0.0071746,455.65,1238400
0.001,0.00016298,0.00016298,false,0.01064,100950,995400
0.001,0.00016298,0.00016298,false,0.01578,804760,841260
0.001,0.00016298,0.00016298,false,0.023403,294200,300560
0.001,0.00016298,0.00016298,false,0.034709,99451,100430
0.001,0.00016298,0.00016298,false,0.051475,32721,32898
0.001,0.00016298,0.00016298,false,0.076341,10165,10185
0.001,0.00016298,0.00016298,false,0.11322,3026,3028.9
0.001,0.00016298,0.00016298,false,0.16791,901.98,902.41
0.001,0.00016298,0.00016298,false,0.24902,259.97,259.87
0.001,0.00016298,0.00016298,false,0.36932,71.852,71.699
0.001,0.00016298,0.00016298,false,0.54772,19.881,19.723
0.001,0.00016298,0.00016298,false,0.81231,5.6731,5.5137
0.001,0.00016298,0.00016298,false,1.2047,1.4907,1.3316
0.001,0.00016298,0.00016298,false,1.7867,0.5339,0.37536
0.001,0.00016298,0.00016298,false,2.6497,0.25512,0.097411
0.001,0.00016298,0.00016298,false,3.9297,0.18175,0.025271
0.001,0.00016298,0.00016298,false,5.828,0.16124,0.0065536
0.001,0.00016298,0.00016298,false,8.6433,0.1538,0.001701
0.001,0.00016298,0.00016298,false,12.819,0.14888,0.00044127
0.001,0.00016298,0.00016298,false,19.011,0.14345,0.00011449
0.001,0.00016298,0.00016298,false,28.194,0.13644,0.000029705
0.001,0.00016298,0.00016298,false,41.814,0.12792,0.0000078093
0.001,0.00016298,0.00016298,false,62.013,0.11661,0.0000020129
0.001,0.00016298,0.00016298,false,91.969,0.10311,5.2275e-7
0.001,0.00016298,0.00016298,false,136.4,0.087991,1.3783e-7
0.001,0.00016298,0.00016298,false,202.28,0.072277,3.7402e-8
0.001,0.00019179,0.00019179,false,0.001,1428,1458.6
0.001,0.00019179,0.00019179,false,0.0014831,1330.4,3784.2
0.001,0.00019179,0.00019179,false,0.0021995,1185.5,1332.9
0.001,0.00019179,0.00019179,false,0.003262,619.56,668.34
0.001,0.00019179,0.00019179,false,0.0048377,316.89,330.51
0.001,0.00019179,0.00019179,false,0.0071746,499.69,1239000
0.001,0.00019179,0.00019179,false,0.01064,115950,999830
0.001,0.00019179,0.00019179,false,0.01578,805280,841810
0.001,0.00019179,0.00019179,false,0.023403,294380,300750
0.001,0.00019179,0.00019179,false,0.034709,99514,100490
0.001,0.00019179,0.00019179,false,0.051475,32742,32918
0.001,0.00019179,0.00019179,false,0.076341,10172,10192
0.001,0.00019179,0.00019179,false,0.11322,3027.9,3030.8
0.001,0.00019179,0.00019179,false,0.16791,902.55,902.98
0.001,0.00019179,0.00019179,false,0.24902,260.13,260.03
0.001,0.00019179,0.00019179,false,0.36932,71.897,71.744
0.001,0.00019179,0.00019179,false,0.54772,19.894,19.735
0.001,0.00019179,0.00019179,false,0.81231,5.6765,5.5172
0.001,0.00019179,0.00019179,false,1.2047,1.4916,1.3325
0.001,0.00019179,0.00019179,false,1.7867,0.53414,0.3756
0.001,0.00019179,0.00019179,false,2.6497,0.25518,0.097472
0.001,0.00019179,0.00019179,false,3.9297,0.18176,0.025287
0.001,0.00019179,0.00019179,false,5.828,0.16124,0.0065577
0.001,0.00019179,0.00019179,false,8.6433,0.15381,0.001702
0.001,0.00019179,0.00019179,false,12.819,0.14888,0.00044155
0.001,0.00019179,0.00019179,false,19.011,0.14345,0.00011455
0.001,0.00019179,0.00019179,false,28.194,0.13644,0.000029723
0.001,0.00019179,0.00019179,false,41.814,0.12792,0.0000078143
0.001,0.00019179,0.00019179,false,62.013,0.11661,0.0000020142
0.001,0.00019179,0.00019179,false,91.969,0.10311,5.2308e-7
0.001,0.00019179,0.00019179,false,136.4,0.087991,1.3791e-7
0.001,0.00019179,0.00019179,false,202.28,0.072277,3.7426e-8
0.001,0.0002257,0.0002257,false,0.001,1509.8,1540
0.001,0.0002257,0.0002257,false,0.0014831,1436.2,3831.4
0.001,0.0002257,0.0002257,false,0.0021995,1250.5,1384.4
0.001,0.0002257,0.0002257,false,0.003262,648.67,698.4
0.001,0.0002257,0.0002257,false,0.0048377,337.28,350.7
0.001,0.0002257,0.0002257,false,0.0071746,551.34,1239800
