temperature_keV,density_requested_g_cm3,density_used_g_cm3,density_was_clipped,rosseland_cm2_g,planck_cm2_g,free_electrons,avg_sq_free_electrons
0.001,73.907,73.907,false,9024.5,9029.1,1,1
0.001,86.975,86.975,false,7864.9,7868.4,1,1
0.001,102.35,102.35,false,6689.5,6692.2,1,1
0.001,120.45,120.45,false,5647.2,5649.1,1,1
0.001,141.75,141.75,false,4857.4,4858.9,1,1
0.001,166.81,166.81,false,4081.4,4082.5,1,1
0.001,196.3,196.3,false,3453.7,3454.5,1,1
0.001,231.01,210.79,true,3219.9,3220.6,1,1
0.001,271.86,210.79,true,3219.9,3220.6,1,1
0.001,319.93,210.79,true,3219.9,3220.6,1,1
0.001,376.49,210.79,true,3219.9,3220.6,1,1
0.001,443.06,210.79,true,3219.9,3220.6,1,1
0.001,521.4,210.79,true,3219.9,3220.6,1,1
0.001,613.59,210.79,true,3219.9,3220.6,1,1
0.001,722.08,210.79,true,3219.9,3220.6,1,1
0.001,849.75,210.79,true,3219.9,3220.6,1,1
0.001,1000,210.79,true,3219.9,3220.6,1,1
0.00125,0.0001,0.0001,false,1891.5,262000,0.075013,0.075013
0.00125,0.00011768,0.00011768,false,1966.5,262980,0.07196,0.07196
0.00125,0.00013849,0.00013849,false,2053.4,264130,0.068367,0.068367
0.00125,0.00016298,0.00016298,false,2154,265480,0.064138,0.064138
0.00125,0.00019179,0.00019179,false,2270.7,267070,0.059162,0.059162
0.00125,0.0002257,0.0002257,false,2406,268940,0.053306,0.053306
0.00125,0.00026561,0.00026561,false,2563,271150,0.046415,0.046415
0.00125,0.00031257,0.00031257,false,2745.3,273740,0.038305,0.038305
0.00125,0.00036784,0.00036784,false,2868.4,274450,0.035613,0.035613
0.00125,0.00043288,0.00043288,false,2981.1,274470,0.034823,0.034823
0.00125,0.00050941,0.00050941,false,3112.4,274500,0.033893,0.033893
0.00125,0.00059948,0.00059948,false,3265.4,274530,0.032799,0.032799
0.00125,0.00070548,0.00070548,false,3443.6,274560,0.031512,0.031512
0.00125,0.00083022,0.00083022,false,3651.3,274600,0.029996,0.029996
0.00125,0.00097701,0.00097701,false,3893.4,274640,0.028213,0.028213
0.00125,0.0011498,0.0011498,false,4175.7,274700,0.026115,0.026115
0.00125,0.001353,0.001353,false,4505,274760,0.023645,0.023645
0.00125,0.0015923,0.0015923,false,4889.4,274840,0.020739,0.020739
0.00125,0.0018738,0.0018738,false,5338.4,274930,0.017319,0.017319
0.00125,0.0022051,0.0022051,false,5653,272790,0.016094,0.016094
0.00125,0.002595,0.002595,false,5941.9,269400,0.015726,0.015726
0.00125,0.0030539,0.0030539,false,6281.4,265410,0.015292,0.015292
